               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
54,0.034251,0.01883,0.0010879,0.6772,0.54226,0.54854,0.28374,0.060013,0.01511,0.006906,0.0056275,0.0056275,0.0056275
55,0.033942,0.018635,0.001225,0.66394,0.5419,0.54493,0.28246,0.061334,0.014659,0.0069361,0.005545,0.005545,0.005545
56,0.034198,0.01847,0.0010599,0.66269,0.54708,0.54493,0.28537,0.061422,0.015542,0.0056323,0.0054625,0.0054625,0.0054625
57,0.033588,0.018728,0.00097562,0.6706,0.56135,0.56471,0.29073,0.058561,0.014797,0.0044698,0.00538,0.00538,0.00538
58,0.033297,0.018222,0.0009859,0.67902,0.54086,0.55399,0.29049,0.05999,0.015306,0.0070471,0.0052975,0.0052975,0.0052975
59,0.033127,0.018504,0.00098808,0.68423,0.5478,0.55062,0.29049,0.059109,0.01553,0.0076398,0.005215,0.005215,0.005215
60,0.032814,0.017999,0.00095882,0.66392,0.54899,0.55181,0.29089,0.060566,0.015344,0.0062447,0.0051325,0.0051325,0.0051325
61,0.033117,0.017905,0.00093897,0.67891,0.5464,0.55754,0.29237,0.06144,0.014558,0.0058054,0.00505,0.00505,0.00505
62,0.032914,0.018074,0.00096674,0.67731,0.5343,0.54882,0.29261,0.060648,0.015171,0.005295,0.0049675,0.0049675,0.0049675
63,0.032737,0.018171,0.00094229,0.65058,0.55728,0.55616,0.29065,0.060145,0.014807,0.0052085,0.004885,0.004885,0.004885
64,0.032517,0.017854,0.00096037,0.67472,0.54604,0.55736,0.29451,0.060673,0.014764,0.0041346,0.0048025,0.0048025,0.0048025
65,0.03221,0.017971,0.00098645,0.66026,0.55792,0.54878,0.29153,0.059007,0.015346,0.0060233,0.00472,0.00472,0.00472
66,0.031678,0.017839,0.00087826,0.68015,0.53333,0.54922,0.29107,0.060625,0.014793,0.0057651,0.0046375,0.0046375,0.0046375
67,0.031748,0.017366,0.00082567,0.67116,0.5286,0.54015,0.29431,0.061139,0.015356,0.0070496,0.004555,0.004555,0.004555
68,0.03184,0.01797,0.00086556,0.64692,0.55959,0.55093,0.29788,0.058898,0.015189,0.0059579,0.0044725,0.0044725,0.0044725
69,0.031207,0.017175,0.00080016,0.66276,0.53898,0.54256,0.29404,0.063647,0.014871,0.0067975,0.00439,0.00439,0.00439
70,0.031317,0.017457,0.0008374,0.68273,0.55577,0.55539,0.29868,0.064089,0.014374,0.0067805,0.0043075,0.0043075,0.0043075
71,0.031053,0.017496,0.00076672,0.69519,0.55635,0.55596,0.30058,0.061482,0.015052,0.0056232,0.004225,0.004225,0.004225
72,0.031056,0.017321,0.0007462,0.67797,0.55859,0.56263,0.3043,0.060149,0.015311,0.0065516,0.0041425,0.0041425,0.0041425
73,0.030554,0.016625,0.00060648,0.69075,0.55089,0.55999,0.29884,0.062713,0.014715,0.004761,0.00406,0.00406,0.00406
74,0.030535,0.016933,0.00069687,0.70768,0.53926,0.5528,0.30063,0.062566,0.015068,0.0048212,0.0039775,0.0039775,0.0039775
75,0.029888,0.016813,0.00072743,0.73102,0.53553,0.56732,0.30897,0.061522,0.014878,0.0064594,0.003895,0.003895,0.003895
76,0.030206,0.016871,0.00071146,0.67693,0.55532,0.55262,0.30201,0.062772,0.014843,0.0079979,0.0038125,0.0038125,0.0038125
77,0.030051,0.016879,0.00071247,0.65442,0.55628,0.55101,0.30145,0.063144,0.014907,0.0074292,0.00373,0.00373,0.00373
78,0.029899,0.016436,0.00072582,0.68303,0.55035,0.55187,0.30391,0.062302,0.015383,0.0070727,0.0036475,0.0036475,0.0036475
79,0.029604,0.016716,0.00067406,0.68379,0.55018,0.55652,0.30574,0.061837,0.015555,0.0063031,0.003565,0.003565,0.003565
80,0.029484,0.01643,0.00067058,0.66177,0.5543,0.55634,0.30585,0.060706,0.015962,0.0059005,0.0034825,0.0034825,0.0034825
81,0.029261,0.016376,0.00065087,0.70088,0.5584,0.5641,0.31051,0.060883,0.016005,0.0071817,0.0034,0.0034,0.0034
82,0.029023,0.016652,0.00059729,0.71113,0.54604,0.55292,0.3076,0.058885,0.015963,0.0064489,0.0033175,0.0033175,0.0033175
83,0.028989,0.016244,0.00059888,0.69543,0.55016,0.56032,0.31087,0.059078,0.016022,0.0057706,0.003235,0.003235,0.003235
84,0.028722,0.016117,0.00060621,0.71831,0.53867,0.55879,0.31238,0.060044,0.016266,0.0061284,0.0031525,0.0031525,0.0031525
85,0.028677,0.016184,0.00053077,0.67728,0.56569,0.5627,0.31173,0.060794,0.015817,0.0073202,0.00307,0.00307,0.00307
86,0.028495,0.01564,0.00054219,0.69874,0.54789,0.56395,0.30997,0.061183,0.015695,0.006491,0.0029875,0.0029875,0.0029875
87,0.028256,0.015771,0.00052783,0.70486,0.56092,0.56624,0.31226,0.060422,0.015903,0.006014,0.002905,0.002905,0.002905
88,0.027925,0.015848,0.0006587,0.69683,0.55052,0.56384,0.31187,0.059948,0.0163,0.0065973,0.0028225,0.0028225,0.0028225
89,0.027945,0.015695,0.00052698,0.69451,0.56694,0.57628,0.31942,0.05943,0.015887,0.0057406,0.00274,0.00274,0.00274
90,0.028034,0.015642,0.00054209,0.67198,0.57172,0.57652,0.32025,0.059688,0.015434,0.0047002,0.0026575,0.0026575,0.0026575
91,0.027875,0.015659,0.00058549,0.70073,0.56257,0.57113,0.32312,0.059968,0.016012,0.0069511,0.002575,0.002575,0.002575
92,0.027321,0.015607,0.00046121,0.68934,0.56113,0.56301,0.32014,0.061924,0.015922,0.0095743,0.0024925,0.0024925,0.0024925
93,0.027435,0.015141,0.00053316,0.70552,0.56278,0.57668,0.32183,0.061298,0.015524,0.0062226,0.00241,0.00241,0.00241
94,0.026975,0.015345,0.00046882,0.71717,0.56311,0.5715,0.32279,0.060258,0.01559,0.0070982,0.0023275,0.0023275,0.0023275
95,0.026951,0.015286,0.00047208,0.70681,0.56128,0.57125,0.32211,0.060244,0.015807,0.0088136,0.002245,0.002245,0.002245
96,0.026921,0.015271,0.00053636,0.7173,0.56144,0.5724,0.32013,0.061186,0.015702,0.0091321,0.0021625,0.0021625,0.0021625
97,0.026564,0.01479,0.00050908,0.71236,0.56858,0.58032,0.32556,0.059709,0.015645,0.0072274,0.00208,0.00208,0.00208
98,0.026449,0.014899,0.00044886,0.71631,0.56726,0.5808,0.32679,0.059514,0.01559,0.0097613,0.0019975,0.0019975,0.0019975
99,0.026184,0.014845,0.00045473,0.73845,0.55146,0.57748,0.32349,0.060335,0.015491,0.010291,0.001915,0.001915,0.001915
100,0.026057,0.014757,0.00045878,0.70438,0.56387,0.57412,0.32513,0.060749,0.015714,0.0084059,0.0018325,0.0018325,0.0018325
101,0.026046,0.015109,0.00043162,0.70673,0.56187,0.56714,0.32222,0.061752,0.015556,0.0070057,0.00175,0.00175,0.00175
102,0.025557,0.01485,0.00034947,0.74726,0.55012,0.57864,0.3288,0.060906,0.015685,0.0060517,0.0016675,0.0016675,0.0016675
103,0.02561,0.014615,0.00043846,0.68914,0.57038,0.57467,0.32585,0.060973,0.015912,0.0062149,0.001585,0.001585,0.001585
104,0.025324,0.014479,0.00038948,0.71519,0.55875,0.57065,0.32366,0.061142,0.015902,0.0060809,0.0015025,0.0015025,0.0015025
105,0.025152,0.014603,0.00038807,0.74591,0.54846,0.56722,0.32459,0.060913,0.016015,0.0064126,0.00142,0.00142,0.00142
106,0.025183,0.014329,0.00037462,0.71383,0.56806,0.57189,0.32673,0.060586,0.016224,0.0063615,0.0013375,0.0013375,0.0013375
107,0.024811,0.014477,0.00039306,0.72808,0.55333,0.56905,0.32589,0.060914,0.016449,0.0063385,0.001255,0.001255,0.001255
108,0.024818,0.014552,0.00036889,0.73357,0.55391,0.56875,0.32352,0.061289,0.016592,0.0067191,0.0011725,0.0011725,0.0011725
109,0.024424,0.013862,0.00035946,0.73969,0.54516,0.56864,0.32631,0.061394,0.016584,0.0067005,0.00109,0.00109,0.00109
110,0.024344,0.013921,0.00030072,0.72229,0.5561,0.57113,0.32874,0.060936,0.016499,0.0069636,0.0010075,0.0010075,0.0010075
111,0.024117,0.013903,0.000321,0.70146,0.56711,0.57493,0.32996,0.060571,0.016562,0.0065631,0.000925,0.000925,0.000925
112,0.024143,0.014105,0.00035352,0.72086,0.56025,0.57636,0.33085,0.061003,0.016626,0.0070001,0.0008425,0.0008425,0.0008425
113,0.024009,0.013696,0.00030625,0.72867,0.55598,0.57059,0.33151,0.061741,0.016601,0.0072956,0.00076,0.00076,0.00076
114,0.023835,0.01384,0.0003089,0.72344,0.55698,0.56783,0.32985,0.0621,0.016526,0.0077081,0.0006775,0.0006775,0.0006775
115,0.023975,0.013808,0.00029168,0.75442,0.5388,0.56631,0.33051,0.062151,0.016487,0.0076937,0.000595,0.000595,0.000595
116,0.023524,0.013742,0.00025506,0.76069,0.53552,0.56814,0.33075,0.061917,0.016565,0.0076627,0.0005125,0.0005125,0.0005125
117,0.023371,0.013794,0.00031666,0.76585,0.53972,0.5707,0.33288,0.061864,0.016576,0.0076105,0.00043,0.00043,0.00043
118,0.023371,0.013386,0.00033942,0.71281,0.55752,0.56841,0.33346,0.061945,0.016487,0.0075064,0.0003475,0.0003475,0.0003475
119,0.023427,0.01345,0.00028289,0.71863,0.55736,0.56964,0.33278,0.061979,0.016551,0.0075192,0.000265,0.000265,0.000265
