epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,10417.4,1.05407,0.68586,1.16322,0.60678,0.52774,0.53585,0.31357,2.11758,2.61931,1.92812,0.000462281,0.000462281,0.000462281
84,10544.9,1.04219,0.66318,1.1536,0.60637,0.54082,0.54256,0.31426,2.10103,2.55155,1.8958,0.000450492,0.000450492,0.000450492
85,10672.3,1.02892,0.65728,1.14847,0.64795,0.51983,0.53659,0.31111,2.15893,2.64591,1.96594,0.000438703,0.000438703,0.000438703
86,10798.1,1.04027,0.66462,1.14655,0.65282,0.53215,0.54949,0.31734,2.10177,2.50516,1.90014,0.000426914,0.000426914,0.000426914
87,10924.9,1.03247,0.65598,1.14316,0.63894,0.5315,0.54219,0.3131,2.13778,2.5318,1.92703,0.000415124,0.000415124,0.000415124
88,11050.8,1.02877,0.65217,1.14092,0.6353,0.51848,0.5361,0.31138,2.12671,2.58001,1.93036,0.000403335,0.000403335,0.000403335
89,11177.6,1.01835,0.64546,1.14016,0.63396,0.52401,0.53435,0.31411,2.1264,2.55007,1.92658,0.000391546,0.000391546,0.000391546
90,11303.7,1.01062,0.63506,1.13027,0.65281,0.52669,0.55018,0.32038,2.0456,2.36918,1.84393,0.000379757,0.000379757,0.000379757
91,11431.1,1.0002,0.63586,1.12988,0.63342,0.52838,0.54082,0.31976,2.08257,2.54556,1.8669,0.000367967,0.000367967,0.000367967
92,11557.1,1.00105,0.63945,1.12931,0.70404,0.49981,0.54118,0.31645,2.07826,2.6018,1.88746,0.000356178,0.000356178,0.000356178
93,11683.6,0.99143,0.62116,1.12514,0.65321,0.51331,0.53318,0.31637,2.10111,2.67439,1.89878,0.000344389,0.000344389,0.000344389
94,11809.2,1.00092,0.62531,1.12794,0.62126,0.52008,0.53074,0.31584,2.10456,2.58603,1.89063,0.0003326,0.0003326,0.0003326
95,11934.9,0.98562,0.62272,1.12232,0.68492,0.50227,0.53962,0.32256,2.09597,2.56855,1.88547,0.00032081,0.00032081,0.00032081
96,12063.2,0.98236,0.61932,1.11645,0.6663,0.52195,0.54518,0.32433,2.09707,2.51135,1.89864,0.000309021,0.000309021,0.000309021
97,12190.4,0.96543,0.60889,1.11329,0.64095,0.53827,0.54803,0.32332,2.10162,2.51789,1.89604,0.000297232,0.000297232,0.000297232
98,12317.7,0.97172,0.59955,1.10487,0.61456,0.54201,0.54655,0.32166,2.12246,2.46977,1.90633,0.000285443,0.000285443,0.000285443
99,12442.6,0.96343,0.59362,1.10802,0.64849,0.5045,0.5371,0.32051,2.10411,2.48511,1.88041,0.000273654,0.000273654,0.000273654
100,12568.0,0.96477,0.59523,1.10591,0.69613,0.48529,0.53659,0.31985,2.13114,2.6469,1.89682,0.000261864,0.000261864,0.000261864
101,12693.8,0.94772,0.58385,1.09885,0.61843,0.54182,0.5459,0.32677,2.11458,2.68001,1.89287,0.000250075,0.000250075,0.000250075
102,12820.5,0.94407,0.58389,1.0976,0.61798,0.54537,0.5439,0.32312,2.13603,2.72908,1.89697,0.000238286,0.000238286,0.000238286
